,ID,Lat,Lon,Target,Country,B1,B2,B3,B4,B5,B7,B8,B8A,B12
0,ID_SJ098E7S2SY9,34.16249093,70.76366828,0,Afghanistan,881.0,1236.0,1721.8333333333333,2106.8333333333335,2452.6666666666665,2696.0,2643.5,2798.5,3391.3333333333335
7,ID_I5DS1NLN2WM8,34.25143465,70.35956155,1,Afghanistan,5171.916666666667,5129.333333333333,4729.166666666667,4457.833333333333,4732.416666666667,5095.166666666667,5083.416666666667,4927.666666666667,3136.0833333333335
9,ID_JBRO8Z453K1J,34.26577617,70.34610331,1,Afghanistan,2048.5833333333335,2094.25,2384.5,2521.0833333333335,2892.8333333333335,3078.0833333333335,3010.8333333333335,3066.5833333333335,2669.5833333333335
12,ID_GYHRWRLEY9W3,34.2926256,70.34585617,0,Afghanistan,2347.75,2354.1666666666665,2694.5,2987.3333333333335,3211.6666666666665,3347.0,3302.0,3337.0833333333335,3496.3333333333335
13,ID_LLW4ZVLCTH7Y,34.30324556,70.3669421,0,Afghanistan,2775.5,2727.5833333333335,2990.25,3086.6666666666665,3329.25,3308.8333333333335,3191.6666666666665,3234.0,3071.4166666666665
16,ID_OVT4MUGA4Z22,34.11910992,70.75303683,0,Afghanistan,1142.6666666666667,1771.0,2439.0,2956.0,3091.5,3273.0,3381.3333333333335,3325.6666666666665,3680.6666666666665
17,ID_Z8Q7G6Y40XAW,34.08759212,70.69004889,1,Afghanistan,2995.6666666666665,3216.5,3107.3333333333335,3040.0,3544.5,4355.0,4269.666666666667,4317.666666666667,2316.1666666666665
20,ID_TMPFO6LITM9U,34.290535,70.42178679,1,Afghanistan,1580.9166666666667,2184.25,2647.3333333333335,2839.3333333333335,3031.5833333333335,3234.9166666666665,3219.9166666666665,3214.4166666666665,3317.0
23,ID_A14I5NDAO8F7,34.29785995,70.37267792,0,Afghanistan,1837.3333333333333,1553.9166666666667,1781.0,1764.75,1968.0833333333333,3464.8333333333335,3349.3333333333335,3527.75,1812.25
24,ID_Z79AVIRGE3E1,34.06032782,70.67200584,0,Afghanistan,3995.6666666666665,3663.6666666666665,3672.0,3636.1666666666665,4162.0,4366.0,4305.666666666667,4336.166666666667,2926.3333333333335
26,ID_XJAAMVGW5WRD,34.29816388,70.3838412,1,Afghanistan,1013.9166666666666,1208.5,1411.25,1312.6666666666667,1772.6666666666667,3815.4166666666665,3942.1666666666665,3909.3333333333335,1592.3333333333333
27,ID_QPA2ZDG5PY1Q,34.28828518,70.34004569,0,Afghanistan,2515.25,2857.0,2871.3333333333335,3160.0833333333335,3536.1666666666665,3680.6666666666665,3593.4166666666665,3653.0833333333335,3547.75
28,ID_6D13XY27TWND,34.05544997,70.66789003,0,Afghanistan,3331.8333333333335,2940.0,3040.3333333333335,3013.6666666666665,3556.8333333333335,4353.5,4262.166666666667,4381.833333333333,2707.8333333333335
31,ID_225U8617WSMV,34.28343731,70.41526401,1,Afghanistan,1620.1666666666667,2041.6666666666667,2469.5833333333335,2684.3333333333335,2908.9166666666665,3144.75,3159.0833333333335,3157.5,3281.25
