,ID,Lat,Lon,Target,Country,B1,B2,B3,B4,B5,B7,B8,B8A,B12
1,ID_CWCD60FGJJYY,32.075695,48.492047,0,Iran,2046.4714285714285,2049.457142857143,2181.942857142857,2155.442857142857,2514.214285714286,3263.6428571428573,3555.885714285714,3406.3571428571427,1671.0142857142857
2,ID_R1XF70RMVGL3,14.542826,33.313483,1,Sudan,1324.8472222222222,1396.2083333333333,1625.236111111111,1769.2083333333333,2071.0694444444443,2770.625,2836.6666666666665,2886.5694444444443,1838.263888888889
3,ID_0ZBIDY0PEBVO,14.35948,33.284108,1,Sudan,1896.0416666666667,1955.9305555555557,2143.6805555555557,2327.2361111111113,2696.9305555555557,3057.847222222222,3099.1805555555557,3141.2083333333335,1959.8194444444443
4,ID_C20R2C0AYIT0,14.419128,33.52845,0,Sudan,2011.0416666666667,2249.902777777778,2590.5416666666665,2921.097222222222,3276.5486111111113,3487.8611111111113,3415.4236111111113,3482.2083333333335,2893.9861111111113
5,ID_MMU0PFMDQ7FW,14.204341,33.340792,0,Sudan,2358.027777777778,2311.0833333333335,2443.125,2490.222222222222,2872.3333333333335,3187.152777777778,3155.6388888888887,3267.3055555555557,2205.4861111111113
6,ID_FA7TDFAUVU2A,14.442394,33.292732,1,Sudan,1745.5972222222222,1787.5833333333333,2044.1597222222222,2226.659722222222,2673.9513888888887,3196.5763888888887,3228.972222222222,3328.340277777778,2047.201388888889
8,ID_5QV3RGD8E6L6,32.309077,48.324152,1,Iran,2040.6857142857143,2052.3714285714286,2272.3571428571427,2356.0285714285715,2800.5714285714284,3777.1,3907.0714285714284,3832.5142857142855,2326.0857142857144
10,ID_OGEL0LA7Y94S,32.294165,48.17602,0,Iran,1815.6571428571428,1925.5071428571428,2028.307142857143,1980.75,2266.85,2784.8571428571427,3019.0214285714287,2851.4142857142856,1688.8357142857142
11,ID_O4CHBAKY74WZ,32.379146,48.215546,1,Iran,2015.4714285714285,2020.4857142857143,2213.0285714285715,2324.114285714286,2647.0071428571428,3596.4714285714285,3718.9714285714285,3695.5857142857144,2288.7
14,ID_7VVCEG83E9SF,32.110459,48.207102,0,Iran,1760.2857142857142,1738.0714285714287,1873.7214285714285,1860.1714285714286,2259.0642857142857,2965.6285714285714,3078.285714285714,3096.6214285714286,1624.2357142857143
15,ID_67DBK0EXDU6W,14.399994,33.492967,1,Sudan,1538.6527777777778,1617.138888888889,1835.8055555555557,1949.9652777777778,2260.9583333333335,2770.1319444444443,2767.6111111111113,2836.5138888888887,1963.4930555555557
18,ID_DXWZP0E8FG9E,14.258599,33.425234,0,Sudan,1702.2777777777778,1784.486111111111,1984.4027777777778,2036.1805555555557,2330.5555555555557,2930.472222222222,3132.902777777778,2949.8333333333335,1636.4722222222222
19,ID_MRFDJA9ISXG4,14.303156,33.36882,1,Sudan,1943.138888888889,1993.7916666666667,2198.6944444444443,2358.5138888888887,2795.1805555555557,3361.1388888888887,3396.4861111111113,3473.027777777778,2180.2638888888887
21,ID_IECISSYAN80G,14.439071,33.301266,0,Sudan,1643.4652777777778,1759.9652777777778,1929.673611111111,2078.75,2279.1180555555557,2750.8611111111113,2671.8194444444443,2806.1111111111113,1750.326388888889
22,ID_QIVKUVMV37NW,14.251952,33.206045,1,Sudan,2348.8333333333335,2286.2083333333335,2383.6944444444443,2391.2083333333335,2773.9305555555557,3209.1111111111113,3290.6111111111113,3292.777777777778,2009.5277777777778
25,ID_5YMARFPBSTDF,14.290849,33.316807,1,Sudan,2029.513888888889,2133.7916666666665,2344.847222222222,2539.4444444444443,2855.4166666666665,3212.8888888888887,3341.347222222222,3359.4444444444443,2259.347222222222
29,ID_NBUO51LOXDEH,32.303507,48.25588,1,Iran,1912.1571428571428,2001.5928571428572,2167.7357142857145,2250.0214285714287,2532.8,3239.75,3429.4,3317.3571428571427,2032.0857142857142
30,ID_S4FZH0QBZOPN,32.310065,48.291633,0,Iran,1804.5428571428572,1721.6714285714286,1916.4285714285713,1959.142857142857,2349.3142857142857,3232.457142857143,3370.7428571428572,3398.7714285714287,1813.6
32,ID_D055INURBWBL,14.159335,33.200565,0,Sudan,2369.5,2431.5694444444443,2611.5833333333335,2805.222222222222,3109.597222222222,3288.375,3408.625,3389.6388888888887,2404.0138888888887
33,ID_KSCSPRYSEH64,14.408438,33.32588,0,Sudan,1638.3125,1598.5277777777778,1728.5833333333333,1723.5208333333333,2105.5416666666665,2555.8125,2668.625,2688.0,1513.263888888889
34,ID_0VNXL2Q6J4DC,14.227158,33.482636,1,Sudan,1679.0277777777778,1771.6805555555557,1979.986111111111,2159.4583333333335,2523.097222222222,3009.3055555555557,3099.9166666666665,3152.7083333333335,2017.513888888889
36,ID_FAXB9O0ADKUU,14.194819,33.38445,0,Sudan,2403.4444444444443,2472.4444444444443,2678.6666666666665,2827.9444444444443,3116.527777777778,3107.5694444444443,3098.5,3076.4861111111113,2075.8333333333335
37,ID_RJD8BACKOCFA,32.085846,48.238992,0,Iran,1871.1285714285714,1871.3642857142856,2026.4571428571428,2004.1857142857143,2472.2214285714285,3258.7642857142855,3386.9142857142856,3425.6071428571427,1885.7142857142858
38,ID_FFUA5GRFDY62,14.284022,33.262998,1,Sudan,1983.6527777777778,1976.6805555555557,2082.4861111111113,2115.5555555555557,2408.597222222222,2960.027777777778,3080.0833333333335,3031.2083333333335,1767.361111111111
39,ID_S9PPVUBPVU3G,14.360468,33.157536,0,Sudan,2078.027777777778,1945.9027777777778,2080.875,2056.75,2486.277777777778,2850.722222222222,3152.722222222222,2931.8055555555557,1991.388888888889
41,ID_WCVQ3NFKNRJ2,32.455143,48.364486,0,Iran,2490.8417266187053,2544.7285714285713,2790.157142857143,3026.207142857143,3019.7571428571428,3075.75,3269.692857142857,3080.3785714285714,2668.6857142857143
42,ID_PDPOUEXBHPY8,14.323278,33.257249,0,Sudan,2356.152777777778,2490.6388888888887,2703.1388888888887,2843.9444444444443,3155.9583333333335,3195.8194444444443,3214.0555555555557,3158.027777777778,1952.9722222222222
43,ID_XFF0KHBYXV6S,32.280331,48.393053,1,Iran,2172.5285714285715,2272.0142857142855,2430.3142857142857,2475.8142857142857,2906.5142857142855,4031.1857142857143,4212.685714285714,4088.542857142857,2350.885714285714
44,ID_3DRUZOA3UAGE,32.213676,48.393412,1,Iran,2144.5,2153.8,2310.714285714286,2441.842857142857,2743.2428571428572,3536.7,3642.342857142857,3622.1428571428573,2234.0857142857144
45,ID_DAOBPJI382OT,32.292997,48.452791,1,Iran,1585.057142857143,1552.7571428571428,1793.1857142857143,1604.6571428571428,2261.557142857143,3510.157142857143,3604.157142857143,3626.0142857142855,1353.357142857143
46,ID_L2U7DUSPD3J0,14.449581,33.143073,0,Sudan,2507.159722222222,2439.0208333333335,2554.5138888888887,2722.3333333333335,3105.909722222222,3116.4305555555557,3076.6944444444443,3153.784722222222,2553.3055555555557
47,ID_3PR0OWONVC1U,32.125102,48.22381,0,Iran,1878.7214285714285,1927.8,2152.464285714286,2212.057142857143,2620.8714285714286,3438.3714285714286,3666.6857142857143,3613.3571428571427,2095.7
48,ID_7RT6AGC8VZMB,32.325875,48.283369,1,Iran,1998.4057971014493,2114.5857142857144,2308.1785714285716,2451.8785714285714,2750.907142857143,3491.2214285714285,3661.535714285714,3546.0,2426.6428571428573
50,ID_TZ41S7PT1ZYC,32.133277,48.326667,1,Iran,1744.5142857142857,1867.442857142857,2073.842857142857,1994.7428571428572,2396.1285714285714,3586.785714285714,3797.614285714286,3684.1857142857143,1770.2714285714285
51,ID_J731FLUQT2A5,14.427572,33.202541,1,Sudan,1956.7777777777778,1985.6875,2108.840277777778,2158.0763888888887,2463.7569444444443,2709.5833333333335,2783.6944444444443,2743.5138888888887,1721.798611111111
55,ID_78PK6N1TP36H,32.302968,48.248873,1,Iran,1901.2285714285715,1992.9214285714286,2195.9785714285713,2270.5142857142855,2613.4285714285716,3717.8571428571427,3897.864285714286,3795.4714285714285,2144.7214285714285
56,ID_HRZAVE6WD5V9,14.459912,33.229671,1,Sudan,1586.3402777777778,1540.9305555555557,1715.1458333333333,1808.3333333333333,2131.0069444444443,2922.9861111111113,3029.7708333333335,3009.7638888888887,1638.3680555555557
58,ID_PDHX6WPOVWRB,32.292368,48.258036,1,Iran,1989.0214285714285,1992.0714285714287,2202.457142857143,2223.9214285714284,2586.1428571428573,3802.05,3927.0142857142855,3866.942857142857,2181.8928571428573
61,ID_TVUFHH090MVE,14.369631,33.277551,1,Sudan,1808.0277777777778,1793.9722222222222,1905.8472222222222,2008.0972222222222,2304.375,2825.847222222222,2876.472222222222,2895.7083333333335,1714.361111111111
62,ID_ZPO98G9T796H,32.150165,48.297831,1,Iran,2146.1,2207.4142857142856,2412.3142857142857,2354.957142857143,2832.5285714285715,3826.3285714285716,3996.4,3898.4,1967.4857142857143
63,ID_6JY5PGVW90D9,14.30603,33.22985,1,Sudan,2320.6944444444443,2274.277777777778,2371.152777777778,2453.8333333333335,2788.097222222222,3281.972222222222,3366.1111111111113,3362.6111111111113,2012.2083333333333
64,ID_3Q700UD8YAPM,14.206138,33.384899,0,Sudan,2335.6666666666665,2352.777777777778,2518.5694444444443,2800.777777777778,3093.7638888888887,3234.8194444444443,3412.25,3338.9166666666665,2839.7638888888887
65,ID_0W9340EJVHD2,32.37124,48.348946,1,Iran,2108.4857142857145,2331.1428571428573,2504.5285714285715,2454.957142857143,2861.2,3667.785714285714,3828.4,3721.785714285714,1829.8285714285714
67,ID_AKMOKH9K8ZIW,14.483268,33.263896,1,Sudan,1453.263888888889,1542.5,1785.9583333333333,1953.5277777777778,2352.5138888888887,2863.6666666666665,2904.4444444444443,3008.8055555555557,2052.972222222222
